"pu_zone_id","cls","trip_count","fee_share_all","fee_share_dropoff_outside","verdict"
"40","control","1532","0.3968668407310705","0.05825242718446602","ok"
"239","buffer","93105","0.34249503249019925","0.0573844384345177","ok"
"195","control","1274","0.3069073783359498","0.056778679026651215","ok"
"257","control","654","0.29357798165137616","0.055944055944055944","ok"
"112","control","5757","0.3910022581205489","0.055159165751920966","ok"
"132","control","148554","0.3363961926302893","0.05497619256273187","ok"
"33","control","4639","0.42315154128044835","0.05469897209985316","ok"
"65","control","4111","0.39065920700559476","0.053959627329192544","ok"
"236","control","146683","0.3212846751157257","0.05280740321202638","ok"
"80","control","5677","0.3517703012154307","0.04889126369222549","ok"
"52","control","1403","0.40484675694939415","0.047785547785547784","ok"
"217","control","757","0.20607661822985468","0.047619047619047616","ok"
"97","control","5228","0.3136954858454476","0.04342953208181564","ok"
"238","control","68648","0.262148933690712","0.042512483976505255","ok"
"181","control","4448","0.27360611510791366","0.04237027939821922","ok"
"152","control","4639","0.3192498383272257","0.04221388367729831","ok"
"75","control","29349","0.2675048553613411","0.04192766677335284","ok"
"202","control","649","0.23728813559322035","0.0407725321888412","ok"
"24","control","10803","0.28982689993520316","0.04025908051816104","ok"
"244","control","9220","0.3249457700650759","0.0384","ok"
"17","control","3850","0.22233766233766233","0.038275862068965515","ok"
"37","control","6691","0.281422806755343","0.03791174642635177","ok"
"49","control","3639","0.3075020610057708","0.03754541784416633","ok"
"133","control","1008","0.24107142857142858","0.037333333333333336","ok"
"243","control","4173","0.3273424394919722","0.037037037037037035","ok"
"157","control","1110","0.17027027027027028","0.036748329621380846","ok"
"83","control","1074","0.12569832402234637","0.03657262277951933","ok"
"166","control","19602","0.2527803285379043","0.03626666666666667","ok"
"151","control","29576","0.24506356505274546","0.036155125623741576","ok"
"129","control","4642","0.15445928479103835","0.0360613810741688","ok"
"223","control","3187","0.20803263256981488","0.03575685339690107","ok"
"189","control","1832","0.27237991266375544","0.034588777863182166","ok"
"116","control","8189","0.3286115520820613","0.03396988615497613","ok"
"25","control","4091","0.30285993644585674","0.033951697584879245","ok"
"106","control","1121","0.2569134701159679","0.03329369797859691","ok"
"34","control","582","0.37628865979381443","0.0332409972299169","ok"
"74","control","15413","0.2573152533575553","0.031590989088349175","ok"
"42","control","13181","0.2612851832182687","0.02774790277479028","ok"
"228","control","1878","0.18317358892438765","0.027535258562793822","ok"
"265","control","731","0.09028727770177838","0.027190332326283987","ok"
"36","control","4190","0.260381861575179","0.02532051282051282","ok"
"225","control","4485","0.20133779264214047","0.024418946749043838","ok"
"89","control","4007","0.14674319940104816","0.023547880690737835","ok"
"10","control","1934","0.16287487073422957","0.023208191126279865","ok"
"127","control","1916","0.24321503131524008","0.02290622763063708","ok"
"56","control","1125","0.09688888888888889","0.02254791431792559","ok"
"41","control","17133","0.23661938948228564","0.022189577856811506","ok"
"160","control","663","0.0889894419306184","0.018998272884283247","ok"
"61","control","6733","0.159512847170652","0.018222806687957917","ok"
"82","control","2684","0.08643815201192251","0.016317991631799162","ok"
"134","control","953","0.03777544596012592","0.015855039637599093","ok"
"196","control","1035","0.08502415458937199","0.014806378132118452","ok"
"198","control","1997","0.11717576364546821","0.014619883040935672","ok"
"14","control","1866","0.1382636655948553","0.014608233731739707","ok"
"95","control","2366","0.06635672020287404","0.013705335291238374","ok"
"188","control","4059","0.10864745011086474","0.012593703148425787","ok"
"219","control","986","0.09127789046653144","0.012195121951219513","ok"
"28","control","1252","0.07747603833865814","0.012104283054003724","ok"
"203","control","504","0.027777777777777776","0.011764705882352941","ok"
"85","control","1562","0.11331626120358515","0.011591962905718702","ok"
"102","control","660","0.048484848484848485","0.011437908496732025","ok"
"165","control","1106","0.03616636528028933","0.01142263759086189","ok"
"136","control","664","0.04819277108433735","0.011214953271028037","ok"
"182","control","1353","0.05321507760532151","0.010357815442561206","ok"
"227","control","821","0.1120584652862363","0.010159651669085631","ok"
"62","control","2049","0.1273792093704246","0.009962640099626401","ok"
"177","control","2660","0.0906015037593985","0.009905254091300603","ok"
"248","control","828","0.1111111111111111","0.009852216748768473","ok"
"173","control","652","0.03374233128834356","0.00825082508250825","ok"
"258","control","1161","0.04306632213608958","0.007827788649706457","ok"
"71","control","2179","0.0656264341441028","0.007454739084132056","ok"
"135","control","626","0.036741214057507986","0.007380073800738007","ok"
"197","control","2467","0.021483583299554115","0.0073370738023306","ok"
"32","control","670","0.034328358208955224","0.007194244604316547","ok"
"124","control","628","0.025477707006369428","0.007079646017699115","ok"
"247","control","1503","0.07318695941450433","0.00706436420722135","ok"
"69","control","1772","0.045146726862302484","0.006993006993006993","ok"
"168","control","2614","0.11667941851568478","0.006944444444444444","ok"
"235","control","1276","0.039968652037617555","0.006730769230769231","ok"
"213","control","1514","0.034346103038309116","0.006672226855713094","ok"
"159","control","1548","0.05103359173126615","0.0061068702290076335","ok"
"180","control","571","0.0297723292469352","0.005639097744360902","ok"
"220","control","896","0.08928571428571429","0.00554016620498615","ok"
"78","control","1091","0.04032997250229148","0.00547645125958379","ok"
"208","control","661","0.05143721633888049","0.005474452554744526","ok"
"215","control","1519","0.06780776826859776","0.005384615384615384","ok"
"130","control","4014","0.0401096163428002","0.0053806833467850415","ok"
"21","control","636","0.020440251572327043","0.0053475935828877","ok"
"191","control","1105","0.016289592760180997","0.005","ok"
"92","control","1232","0.04383116883116883","0.004646840148698885","ok"
"121","control","792","0.03535353535353535","0.00430416068866571","ok"
"47","control","831","0.02286401925391095","0.004166666666666667","ok"
"147","control","578","0.07612456747404844","0.004166666666666667","ok"
"119","control","976","0.0778688524590164","0.0038910505836575876","ok"
"241","control","962","0.038461538461538464","0.0036991368680641184","ok"
"26","control","1239","0.02744148506860371","0.003568242640499554","ok"
"185","control","675","0.03259259259259259","0.003355704697986577","ok"
"216","control","3283","0.0185805665549802","0.0031887755102040817","ok"
"131","control","716","0.03770949720670391","0.003179650238473768","ok"
"81","control","714","0.0196078431372549","0.0031746031746031746","ok"
"126","control","746","0.04825737265415549","0.0031397174254317113","ok"
"72","control","2601","0.03613994617454825","0.0029863481228668944","ok"
"63","control","1488","0.02956989247311828","0.002952029520295203","ok"
"22","control","830","0.030120481927710843","0.002911208151382824","ok"
"174","control","869","0.019562715765247412","0.002583979328165375","ok"
"77","control","1375","0.01890909090909091","0.0024691358024691358","ok"
"205","control","1407","0.00923951670220327","0.0023510971786833857","ok"
"169","control","1018","0.0412573673870334","0.00228310502283105","ok"
"218","control","1072","0.012126865671641791","0.002183406113537118","ok"
"222","control","1059","0.004721435316336166","0.002152852529601722","ok"
"91","control","2329","0.018033490768570203","0.001936108422071636","ok"
"29","control","631","0.009508716323296355","0.0018587360594795538","ok"
"60","control","706","0.06657223796033994","0.0017543859649122807","ok"
"51","control","1449","0.01725327812284334","0.001710863986313088","ok"
"259","control","773","0.02328589909443726","0.0016260162601626016","ok"
"250","control","848","0.04834905660377359","0.001445086705202312","ok"
"212","control","840","0.05238095238095238","0.0014064697609001407","ok"
"242","control","794","0.02518891687657431","0.001402524544179523","ok"
"39","control","3220","0.011180124223602485","0.001392757660167131","ok"
"18","control","1004","0.012948207171314742","0.0012135922330097086","ok"
"35","control","2743","0.00911410864017499","0.0012024048096192384","ok"
"210","control","1039","0.010587102983638113","0.0011441647597254005","ok"
"254","control","1392","0.035919540229885055","8.904719501335708E-4","ok"
"76","control","5383","0.01114620100315809","8.061265618702137E-4","ok"
"55","control","1538","0.009102730819245773","0.0","ok"
"139","control","570","0.007017543859649123","0.0","ok"
"167","control","1228","0.05130293159609121","0.0","ok"
"117","control","1130","0.002654867256637168","0.0","ok"
"155","control","1048","0.016221374045801526","0.0","ok"
"123","control","806","0.01240694789081886","0.0","ok"
"149","control","581","0.012048192771084338","0.0","ok"
"86","control","1082","0.006469500924214418","0.0","ok"
"108","control","525","0.011428571428571429","0.0","ok"
